feature,name,lb,ub,type
0,customerID,0.0,1.0,linear
1,gender,0.0,1.0,linear
2,SeniorCitizen,0.0,1.0,linear
3,Partner,0.0,1.0,linear
4,Dependents,0.0,1.0,linear
5,tenure,0.0,1.0,linear
6,PhoneService,0.0,1.0,linear
7,MultipleLines,0.0,1.0,linear
8,InternetService,0.0,1.0,linear
9,OnlineSecurity,0.0,1.0,linear
10,OnlineBackup,0.0,1.0,linear
11,DeviceProtection,0.0,1.0,linear
12,TechSupport,0.0,1.0,linear
13,StreamingTV,0.0,1.0,linear
14,StreamingMovies,0.0,1.0,linear
15,Contract,0.0,1.0,linear
16,PaperlessBilling,0.0,1.0,linear
17,PaymentMethod,0.0,1.0,linear
18,MonthlyCharges,0.0014925373134328,1.0,linear
19,TotalCharges,0.0,1.0,linear
